model,cv_average_precision,cv_roc_auc,roc_auc,average_precision,accuracy,balanced_accuracy,precision,recall_sensitivity,specificity,f1,true_negative,false_positive,false_negative,true_positive
extra_trees,0.9896216559710082,0.9969503928402645,0.9980044896030246,0.992284317259338,0.967391304347826,0.9788043478260869,0.8611632270168855,0.9978260869565218,0.9597826086956521,0.9244712990936556,1766,74,1,459
random_forest,0.9877539770309016,0.9962125989484878,0.997234758979206,0.9874798943729068,0.9726086956521739,0.9820652173913044,0.8809980806142035,0.9978260869565218,0.966304347826087,0.9357798165137615,1778,62,1,459
logistic_regression,0.9818005036108945,0.9930532254253308,0.9942214083175803,0.9748884203817862,0.9469565217391305,0.9652173913043478,0.7923875432525952,0.9956521739130435,0.9347826086956522,0.882466281310212,1720,120,2,458
dummy_prior,0.2,0.5,0.5,0.2,0.8,0.5,0.0,0.0,1.0,0.0,1840,0,460,0
